target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,VIP,900000,0,0,0,0.8261648746,35.509589041,0.9215210719,0,0,10.695890411,692
0,OTHER,elementary,Corporate,44062,0,1,0,0.5705421147,39.011685006,0.877438431,1,1,10.910315143,704
0,OTHER,elementary,Corporate,37727,0,1,0,81.373297491,37.17380792,4.5,0,0,11.302575043,707
0,OTHER,elementary,Corporate,49299,0,1,0,1.3137768817,31.389767198,2.376068568,0,0,11.039082267,714
0,OTHER,elementary,Corporate,86493,0,1,,,43.745205479,4.1643835616,,,13.698630137,717
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,722
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,723
0,OTHER,advanced,Corporate,30335,0,1,,,32.150273224,0.7356314095,,,2.2452204506,724
0,OTHER,elementary,,191400,0,0,0,1.4105062724,41.373486039,1.0118422038,2,2,8.0409836066,725
0,OTHER,elementary,,55000,0,0,4,0.6917786738,31.702185792,2.1222771166,0,0,8.8346058837,731
0,2NDFL,elementary,,23669,0,1,1,1.1190188172,34.987341867,7.7759562842,0,0,9.696930908,735
0,OTHER,advanced,,30000,0,0,0,7.6601702509,39.737704918,1.5926641216,0,0,10.458417546,740
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,756
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,757
0,OTHER,elementary,Corporate,94192,0,1,0,2.3149865591,48.262729246,0.7763904484,0,0,3.1890410959,760
0,OTHER,elementary,Corporate,33469,0,1,,,34.090410959,6.8054794521,,,11.309589041,764
0,OTHER,elementary,Corporate,50120,0,1,,,43.671232877,0.6705591736,,,5.8876712329,784
0,2NDFL,beginner,,,0,1,0,0.4014560932,49.086136687,3.7540983607,0,0,4.0382513661,789
0,2NDFL,elementary,,118365,0,0,0,,38.739726027,13.493150685,1,1,11.473972603,793
0,2NDFL,elementary,,23619,0,0,,,27.781420765,0.7410958904,,,4.8753424658,794
0,OTHER,elementary,Corporate,34731,0,1,,,25.063402949,0.7704918033,,,4.9647728123,795
